dataset	sample_id	module_color	projected_module_score	sample_index	dataset_short
GSE184114	Deaccl_Deacclimation_Control_6_3	blue	-1.67093819616959	11	184114
GSE184114	Deaccl_Deacclimation_Control_72_1	blue	-0.930919717605995	19	184114
GSE184114	Deaccl_Deacclimation_Control_72_2	blue	-0.931618800136003	18	184114
GSE184114	Deaccl_Deacclimation_Control_72_3	blue	-0.968900636006322	17	184114
GSE184114	Accl_Acclimation_Control_0_1	turquoise	-0.705510512978105	44	184114
GSE184114	Accl_Acclimation_Control_0_2	turquoise	-0.88787586769422	38	184114
GSE184114	Accl_Acclimation_Control_0_3	turquoise	-0.661982051375714	66	184114
GSE184114	Accl_Acclimation_Control_0_4	turquoise	-0.923104568481405	55	184114
GSE184114	Accl_Acclimation_Control_0_1.1	turquoise	-0.705510512978105	45	184114
GSE184114	Accl_Acclimation_Control_0_2.1	turquoise	-0.88787586769422	39	184114
GSE184114	Accl_Acclimation_Control_0_3.1	turquoise	-0.661982051375714	67	184114
GSE184114	Accl_Acclimation_Control_0_4.1	turquoise	-0.923104568481405	56	184114
GSE184114	Accl_Acclimation_Control_2_2	turquoise	-0.670563806772403	33	184114
GSE184114	Accl_Acclimation_Control_2_3	turquoise	-0.982765694689816	58	184114
GSE184114	Accl_Acclimation_Control_2_4	turquoise	-0.948409251659455	42	184114
GSE184114	Accl_Acclimation_ABA_2_1	turquoise	-0.884289054876009	59	184114
GSE184114	Accl_Acclimation_ABA_2_2	turquoise	-0.906062979976156	69	184114
GSE184114	Accl_Acclimation_ABA_2_3	turquoise	-0.637324370650794	34	184114
GSE184114	Accl_Acclimation_ABA_2_4	turquoise	-0.913061487363745	37	184114
GSE184114	Accl_Acclimation_Control_4_1	turquoise	-0.68678409778777	28	184114
GSE184114	Accl_Acclimation_Control_4_2	turquoise	-0.801310920245916	30	184114
GSE184114	Accl_Acclimation_Control_4_3	turquoise	-0.684763569326365	53	184114
GSE184114	Accl_Acclimation_Control_4_4	turquoise	-0.599058445460635	31	184114
GSE184114	Accl_Acclimation_ABA_4_1	turquoise	-0.75949733981989	68	184114
GSE184114	Accl_Acclimation_ABA_4_2	turquoise	-1.03296362924057	63	184114
GSE184114	Accl_Acclimation_ABA_4_3	turquoise	-0.906509213460316	50	184114
GSE184114	Accl_Acclimation_ABA_4_4	turquoise	-0.694061259953579	46	184114
GSE184114	Accl_Acclimation_Control_24_1	turquoise	-0.869110932430833	35	184114
GSE184114	Accl_Acclimation_Control_24_2	turquoise	-0.995112472620045	36	184114
GSE184114	Accl_Acclimation_Control_24_3	turquoise	-0.675802150394395	60	184114
GSE184114	Accl_Acclimation_Control_24_4	turquoise	-0.664118957134999	48	184114
GSE184114	Accl_Acclimation_ABA_24_2	turquoise	-1.54936457098029	74	184114
GSE184114	Accl_Acclimation_ABA_24_3	turquoise	-1.1455621025839	72	184114
GSE184114	Accl_Acclimation_ABA_24_4	turquoise	-1.39378642328084	71	184114
GSE184114	Accl_Acclimation_Control_48_1	turquoise	-0.321983929991426	51	184114
GSE184114	Accl_Acclimation_Control_48_2	turquoise	-0.571910935146453	41	184114
GSE184114	Accl_Acclimation_Control_48_3	turquoise	-0.894246233119817	40	184114
GSE184114	Accl_Acclimation_Control_48_4	turquoise	-0.669652617943187	32	184114
GSE184114	Accl_Acclimation_ABA_48_1	turquoise	-0.98122438195747	64	184114
GSE184114	Accl_Acclimation_ABA_48_2	turquoise	-1.30510259473604	73	184114
GSE184114	Accl_Acclimation_Control_2_1	turquoise	-0.690307148580457	47	184114
GSE184114	Accl_Acclimation_ABA_24_1	turquoise	-1.2991347027842	57	184114
GSE184114	Accl_Acclimation_ABA_48_3	turquoise	-0.921251929312314	70	184114
GSE184114	Accl_Acclimation_ABA_48_4	turquoise	-0.715146373691579	54	184114
GSE184114	Deaccl_Deacclimation_ABA_12_1	turquoise	0.211190681555869	65	184114
GSE184114	Deaccl_Deacclimation_ABA_12_2	turquoise	0.1920139792631	61	184114
GSE184114	Deaccl_Deacclimation_ABA_12_3	turquoise	0.229201226369586	62	184114
GSE184114	Deaccl_Deacclimation_ABA_24_1	turquoise	0.769346582729097	29	184114
GSE184114	Deaccl_Deacclimation_ABA_24_2	turquoise	0.755862380862446	26	184114
GSE184114	Deaccl_Deacclimation_ABA_24_3	turquoise	0.777711091280597	27	184114
GSE184114	Deaccl_Deacclimation_ABA_48_1	turquoise	0.00454541601246975	52	184114
GSE184114	Deaccl_Deacclimation_ABA_48_2	turquoise	-0.0480758640666223	49	184114
GSE184114	Deaccl_Deacclimation_ABA_48_3	turquoise	0.0152113100765001	43	184114
GSE184114	Deaccl_Deacclimation_ABA_6_1	turquoise	0.975466425820915	23	184114
GSE184114	Deaccl_Deacclimation_ABA_6_2	turquoise	0.943435371280858	25	184114
GSE184114	Deaccl_Deacclimation_ABA_6_3	turquoise	0.949676613531601	24	184114
GSE184114	Deaccl_Deacclimation_ABA_72_1	turquoise	1.00380417183556	21	184114
GSE184114	Deaccl_Deacclimation_ABA_72_2	turquoise	0.98678108612138	22	184114
GSE184114	Deaccl_Deacclimation_ABA_72_3	turquoise	0.968515586380772	20	184114
GSE184114	Deaccl_Deacclimation_Control_0_1	turquoise	1.22178444220496	5	184114
GSE184114	Deaccl_Deacclimation_Control_0_2	turquoise	1.21486582180382	3	184114
GSE184114	Deaccl_Deacclimation_Control_0_3	turquoise	1.21324265792317	7	184114
GSE184114	Deaccl_Deacclimation_Control_12_1	turquoise	1.3572890895437	2	184114
GSE184114	Deaccl_Deacclimation_Control_12_2	turquoise	1.34868897281976	1	184114
GSE184114	Deaccl_Deacclimation_Control_12_3	turquoise	1.33683009306551	6	184114
GSE184114	Deaccl_Deacclimation_Control_24_1	turquoise	1.46525161335439	10	184114
GSE184114	Deaccl_Deacclimation_Control_24_2	turquoise	1.47526252951309	4	184114
GSE184114	Deaccl_Deacclimation_Control_24_3	turquoise	1.46600481084008	12	184114
GSE184114	Deaccl_Deacclimation_Control_48_1	turquoise	1.41670633497232	14	184114
GSE184114	Deaccl_Deacclimation_Control_48_2	turquoise	1.38050168193251	15	184114
GSE184114	Deaccl_Deacclimation_Control_48_3	turquoise	1.41148998605295	16	184114
GSE184114	Deaccl_Deacclimation_Control_48_4	turquoise	1.34848171393684	13	184114
GSE184114	Deaccl_Deacclimation_Control_6_1	turquoise	1.31536494806496	9	184114
GSE184114	Deaccl_Deacclimation_Control_6_2	turquoise	1.32213370587092	8	184114
GSE184114	Deaccl_Deacclimation_Control_6_3	turquoise	1.31867690372381	11	184114
GSE184114	Deaccl_Deacclimation_Control_72_1	turquoise	1.25381606939804	19	184114
GSE184114	Deaccl_Deacclimation_Control_72_2	turquoise	1.25944948304653	18	184114
GSE184114	Deaccl_Deacclimation_Control_72_3	turquoise	1.26666266190908	17	184114
GSE277812	T1_2_1	blue	0.393270452623403	16	277812
GSE277812	T1_2_2	blue	-0.879092980979028	6	277812
