gene_id	k	estimate	se_hk	ci_low	ci_high	p_value	tau2	i2	q	q_hk	padj	heterogeneity_high	all_varieties_same_sign	all_loo_same_sign	robust_meta_gene	module_color	class	neglog10_fdr
Vitvi05g00543	4	1.91666566854403	0.210967144661383	1.24527405848016	2.58805727860791	0.0028174183580392	0.0415634224468196	0.225635723837936	3.87414566031987	0.98768237857893	0.0308019736600831	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.511421454856
Vitvi05g00544	4	3.8392678453037	0.64054994937005	1.80075202558132	5.87778366502608	0.00930014679175272	0	0.194772120677775	3.72565341692485	1.24188447230828	0.0429138167198097	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.36740285795304
Vitvi05g00545	4	0.366733636120411	0.241719207840017	-0.402524763786157	1.13599203602698	0.226498283132388	0.190115053430183	0.82527695842759	17.1700307698496	0.981963882833897	0.308788693403341	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.510338610157663
Vitvi05g00548	4	5.15075531942602	1.82899620029617	-0.669926880584453	10.9714375194365	0.0669503033260824	10.0971850090718	0.767066357830497	12.8792044466335	1.04696911351958	0.126793327350656	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.896903601115493
Vitvi05g00549	4	4.91790003567195	0.987401515816573	1.77554772982996	8.06025234151393	0.0155568733564833	3.27876102268194	0.848596130793603	19.8145530607962	1.04802746341874	0.0532791978691129	TRUE	TRUE	TRUE	FALSE	turquoise	Not robust	1.27344232219437
Vitvi05g00551	4	0.238414844751837	0.705859121464099	-2.00794390840239	2.48477359790606	0.75779373424159	1.84362332366589	0.928203639151695	41.7848476517988	0.998176269777119	0.808883772160514	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.0921138773193292
Vitvi05g00553	4	1.83551010749958	0.409650200539623	0.531820340333529	3.13919987466563	0.0207286900905879	0.593225847611486	0.888494019640037	26.9043865657736	0.994116876509251	0.0616846900543391	TRUE	TRUE	TRUE	FALSE	NA	Not robust	1.20982261311399
Vitvi05g00554	4	3.12483518976885	0.483623071103135	1.58573073398672	4.66393964555098	0.00752096272208755	0.790782201191432	0.847263096502172	19.6416185695598	1.00665722813383	0.0397205216414557	TRUE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.40098505663894
Vitvi05g00556	4	-0.47840049968705	0.307748576057561	-1.45779381851776	0.500992819143658	0.217897786534877	0.276611491944296	0.746486990718483	11.8337122363161	1.0530964480764	0.30039230616967	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.522311194939665
Vitvi05g00557	4	6.18319600699329	0.438694085700007	4.78707563480749	7.57931637917909	0.000773574876041952	0	0	1.31546860228508	0.438489534095028	0.0296011433169148	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.52869151439248
