gene_id	Vamu	Vvcs	Vvri	Vrip
Vitvi01g00317	TRUE	TRUE	TRUE	TRUE
Vitvi01g00318	TRUE	TRUE	TRUE	TRUE
Vitvi01g00319	FALSE	TRUE	TRUE	TRUE
Vitvi01g00320	TRUE	TRUE	TRUE	TRUE
Vitvi01g00321	TRUE	FALSE	TRUE	FALSE
Vitvi01g00324	TRUE	FALSE	FALSE	FALSE
Vitvi01g00325	TRUE	TRUE	TRUE	TRUE
Vitvi01g00326	FALSE	TRUE	TRUE	TRUE
Vitvi01g00327	TRUE	TRUE	TRUE	TRUE
Vitvi01g00328	TRUE	TRUE	TRUE	TRUE
Vitvi01g00330	TRUE	TRUE	TRUE	TRUE
Vitvi01g00331	TRUE	TRUE	TRUE	TRUE
Vitvi01g00332	TRUE	TRUE	TRUE	TRUE
Vitvi01g00333	TRUE	TRUE	TRUE	TRUE
Vitvi01g00335	TRUE	TRUE	TRUE	TRUE
Vitvi01g00336	TRUE	FALSE	FALSE	FALSE
Vitvi01g00337	TRUE	TRUE	TRUE	TRUE
Vitvi01g00338	TRUE	TRUE	TRUE	TRUE
Vitvi01g00339	TRUE	TRUE	TRUE	TRUE
Vitvi01g00340	TRUE	TRUE	TRUE	TRUE
Vitvi01g00342	TRUE	TRUE	TRUE	FALSE
Vitvi01g00343	TRUE	TRUE	TRUE	TRUE
Vitvi01g00344	TRUE	TRUE	TRUE	TRUE
Vitvi01g00345	TRUE	TRUE	TRUE	TRUE
Vitvi01g00346	FALSE	TRUE	FALSE	FALSE
Vitvi01g00347	TRUE	TRUE	FALSE	FALSE
Vitvi01g00348	TRUE	TRUE	FALSE	TRUE
Vitvi01g00349	FALSE	TRUE	FALSE	FALSE
Vitvi01g00350	TRUE	TRUE	TRUE	TRUE
Vitvi01g00352	TRUE	TRUE	TRUE	TRUE
Vitvi01g00353	TRUE	TRUE	FALSE	FALSE
Vitvi01g00354	TRUE	TRUE	TRUE	TRUE
Vitvi01g00355	TRUE	TRUE	TRUE	TRUE
Vitvi01g00357	FALSE	TRUE	TRUE	FALSE
Vitvi01g00358	TRUE	TRUE	TRUE	TRUE
Vitvi01g00360	TRUE	TRUE	TRUE	TRUE
Vitvi01g00361	TRUE	TRUE	FALSE	TRUE
Vitvi01g00362	TRUE	TRUE	TRUE	TRUE
Vitvi01g00363	TRUE	TRUE	TRUE	TRUE
Vitvi01g00365	FALSE	TRUE	TRUE	FALSE
Vitvi01g00366	TRUE	TRUE	TRUE	TRUE
Vitvi01g00368	FALSE	TRUE	FALSE	TRUE
Vitvi01g00369	TRUE	TRUE	TRUE	TRUE
Vitvi01g00370	TRUE	FALSE	FALSE	TRUE
Vitvi01g00371	FALSE	TRUE	FALSE	FALSE
